10/04/2018 07:58:26 PM: Namespace(audio='call', fraction_to_drop=0.5, k=40, num_samples=144, r=12, speed_over_accuracy=1)
10/04/2018 07:58:26 PM: num_cores:
10/04/2018 07:58:26 PM: 72
10/04/2018 07:58:26 PM: Parallelize sampling.
10/04/2018 07:58:26 PM: The signal length is 2120640: 
10/04/2018 07:58:26 PM: The number of frames 'K' is 4141: 
10/04/2018 07:58:26 PM: The length of each frame 'L' is 512: 
10/04/2018 07:58:30 PM: START
10/04/2018 07:58:30 PM: [0.0, 'ground set remaining:', 176679, 'size of current solution:', 0]
10/04/2018 07:58:38 PM: [34.67725466443401, 'ground set remaining:', 176676, 'size of current solution:', 3]
10/04/2018 07:58:46 PM: [65.87092579807101, 'ground set remaining:', 176673, 'size of current solution:', 6]
10/04/2018 07:58:55 PM: [97.64060417567582, 'ground set remaining:', 176670, 'size of current solution:', 9]
10/04/2018 07:59:04 PM: [127.69894631529826, 'ground set remaining:', 176667, 'size of current solution:', 12]
10/04/2018 07:59:13 PM: [156.5465841001107, 'ground set remaining:', 176664, 'size of current solution:', 15]
10/04/2018 07:59:22 PM: [186.20320616403092, 'ground set remaining:', 176661, 'size of current solution:', 18]
10/04/2018 07:59:32 PM: [214.1931859755084, 'ground set remaining:', 176658, 'size of current solution:', 21]
10/04/2018 07:59:41 PM: [242.35091593487743, 'ground set remaining:', 176655, 'size of current solution:', 24]
10/04/2018 07:59:49 PM: [270.63190399223043, 'ground set remaining:', 176652, 'size of current solution:', 27]
10/04/2018 07:59:58 PM: [298.4454248698396, 'ground set remaining:', 176649, 'size of current solution:', 30]
10/04/2018 08:00:07 PM: [326.0297721807852, 'ground set remaining:', 176646, 'size of current solution:', 33]
10/04/2018 08:00:16 PM: [353.592961900315, 'ground set remaining:', 176643, 'size of current solution:', 36]
10/04/2018 08:00:25 PM: [379.65601901610523, 'ground set remaining:', 176640, 'size of current solution:', 39]
10/04/2018 08:00:37 PM: STOP
