10/04/2018 07:44:31 PM: Namespace(audio='call', fraction_to_drop=0.5, k=210, num_samples=144, r=12, speed_over_accuracy=1)
10/04/2018 07:44:31 PM: num_cores:
10/04/2018 07:44:31 PM: 72
10/04/2018 07:44:31 PM: Parallelize sampling.
10/04/2018 07:44:31 PM: The signal length is 2120640: 
10/04/2018 07:44:31 PM: The number of frames 'K' is 4141: 
10/04/2018 07:44:31 PM: The length of each frame 'L' is 512: 
10/04/2018 07:44:35 PM: START
10/04/2018 07:44:35 PM: [0.0, 'ground set remaining:', 176679, 'size of current solution:', 0]
10/04/2018 07:44:58 PM: [161.20042635316258, 'ground set remaining:', 176662, 'size of current solution:', 17]
10/04/2018 07:45:23 PM: [302.124562010914, 'ground set remaining:', 176645, 'size of current solution:', 34]
10/04/2018 07:45:46 PM: [436.85294383472774, 'ground set remaining:', 176628, 'size of current solution:', 51]
10/04/2018 07:46:10 PM: [567.3168081712827, 'ground set remaining:', 176611, 'size of current solution:', 68]
10/04/2018 07:46:34 PM: [694.8555917082256, 'ground set remaining:', 176594, 'size of current solution:', 85]
10/04/2018 07:46:57 PM: [820.4776724112492, 'ground set remaining:', 176577, 'size of current solution:', 102]
10/04/2018 07:47:20 PM: [945.140080519958, 'ground set remaining:', 176560, 'size of current solution:', 119]
10/04/2018 07:47:44 PM: [1068.8167715551826, 'ground set remaining:', 176543, 'size of current solution:', 136]
10/04/2018 07:48:08 PM: [1192.564788876774, 'ground set remaining:', 176526, 'size of current solution:', 153]
10/04/2018 07:48:31 PM: [1315.4434252000924, 'ground set remaining:', 176509, 'size of current solution:', 170]
10/04/2018 07:48:55 PM: [1438.6218600901034, 'ground set remaining:', 176492, 'size of current solution:', 187]
10/04/2018 07:49:19 PM: [1559.976950192363, 'ground set remaining:', 176475, 'size of current solution:', 204]
10/04/2018 07:49:43 PM: STOP
