10/04/2018 08:16:03 PM: Namespace(audio='billy', fraction_to_drop=0.5, k=80, num_samples=144, r=12, speed_over_accuracy=1)
10/04/2018 08:16:03 PM: num_cores:
10/04/2018 08:16:03 PM: 72
10/04/2018 08:16:03 PM: Parallelize sampling.
10/04/2018 08:16:03 PM: The signal length is 984000: 
10/04/2018 08:16:03 PM: The number of frames 'K' is 1921: 
10/04/2018 08:16:03 PM: The length of each frame 'L' is 512: 
10/04/2018 08:16:04 PM: START
10/04/2018 08:16:04 PM: [0.0, 'ground set remaining:', 81959, 'size of current solution:', 0]
10/04/2018 08:16:10 PM: [62.316669497984776, 'ground set remaining:', 81953, 'size of current solution:', 6]
10/04/2018 08:16:16 PM: [118.56692582837991, 'ground set remaining:', 81947, 'size of current solution:', 12]
10/04/2018 08:16:21 PM: [172.3999020417528, 'ground set remaining:', 81941, 'size of current solution:', 18]
10/04/2018 08:16:27 PM: [222.80857050234135, 'ground set remaining:', 81935, 'size of current solution:', 24]
10/04/2018 08:16:32 PM: [272.60886138394164, 'ground set remaining:', 81929, 'size of current solution:', 30]
10/04/2018 08:16:38 PM: [321.80032993756447, 'ground set remaining:', 81923, 'size of current solution:', 36]
10/04/2018 08:16:44 PM: [368.88545741870007, 'ground set remaining:', 81917, 'size of current solution:', 42]
10/04/2018 08:16:49 PM: [417.3778223505499, 'ground set remaining:', 81911, 'size of current solution:', 48]
10/04/2018 08:16:56 PM: [461.9096249613624, 'ground set remaining:', 81905, 'size of current solution:', 54]
10/04/2018 08:17:01 PM: [508.30755885476265, 'ground set remaining:', 81899, 'size of current solution:', 60]
10/04/2018 08:17:06 PM: [553.7648202979958, 'ground set remaining:', 81893, 'size of current solution:', 66]
10/04/2018 08:17:12 PM: [598.7990668807763, 'ground set remaining:', 81887, 'size of current solution:', 72]
10/04/2018 08:17:18 PM: [643.6523555524241, 'ground set remaining:', 81881, 'size of current solution:', 78]
10/04/2018 08:17:25 PM: STOP
