10/04/2018 08:44:43 PM: Namespace(audio='call', fraction_to_drop=0.5, k=60, num_samples=360, r=60, speed_over_accuracy=1)
10/04/2018 08:44:43 PM: num_cores:
10/04/2018 08:44:43 PM: 72
10/04/2018 08:44:43 PM: Parallelize sampling.
10/04/2018 08:44:43 PM: The signal length is 530160: 
10/04/2018 08:44:43 PM: The number of frames 'K' is 1035: 
10/04/2018 08:44:43 PM: The length of each frame 'L' is 512: 
10/04/2018 08:44:44 PM: START
10/04/2018 08:44:44 PM: [0.0, 'ground set remaining:', 44139, 'size of current solution:', 0]
10/04/2018 08:44:48 PM: [12.29206593767644, 'ground set remaining:', 44138, 'size of current solution:', 1]
10/04/2018 08:44:53 PM: [24.622271387247473, 'ground set remaining:', 44137, 'size of current solution:', 2]
10/04/2018 08:44:58 PM: [36.29871433126431, 'ground set remaining:', 44136, 'size of current solution:', 3]
10/04/2018 08:45:02 PM: [48.78468025852667, 'ground set remaining:', 44135, 'size of current solution:', 4]
10/04/2018 08:45:07 PM: [60.98896019196381, 'ground set remaining:', 44134, 'size of current solution:', 5]
10/04/2018 08:45:11 PM: [72.43634529763962, 'ground set remaining:', 44133, 'size of current solution:', 6]
10/04/2018 08:45:16 PM: [84.53874434342632, 'ground set remaining:', 44132, 'size of current solution:', 7]
10/04/2018 08:45:21 PM: [95.67217300960483, 'ground set remaining:', 44131, 'size of current solution:', 8]
10/04/2018 08:45:26 PM: [107.60524846641806, 'ground set remaining:', 44130, 'size of current solution:', 9]
10/04/2018 08:45:30 PM: [119.9732595395376, 'ground set remaining:', 44129, 'size of current solution:', 10]
10/04/2018 08:45:35 PM: [131.22905813400214, 'ground set remaining:', 44128, 'size of current solution:', 11]
10/04/2018 08:45:40 PM: [144.1487778535902, 'ground set remaining:', 44127, 'size of current solution:', 12]
10/04/2018 08:45:45 PM: [155.16044431616274, 'ground set remaining:', 44126, 'size of current solution:', 13]
10/04/2018 08:45:49 PM: [167.6436504876321, 'ground set remaining:', 44125, 'size of current solution:', 14]
10/04/2018 08:45:54 PM: [178.7740434186171, 'ground set remaining:', 44124, 'size of current solution:', 15]
10/04/2018 08:45:59 PM: [189.68432683734616, 'ground set remaining:', 44123, 'size of current solution:', 16]
10/04/2018 08:46:04 PM: [201.86597013504266, 'ground set remaining:', 44122, 'size of current solution:', 17]
10/04/2018 08:46:08 PM: [212.82474023700053, 'ground set remaining:', 44121, 'size of current solution:', 18]
10/04/2018 08:46:13 PM: [223.7215826529736, 'ground set remaining:', 44120, 'size of current solution:', 19]
10/04/2018 08:46:18 PM: [234.94703924622758, 'ground set remaining:', 44119, 'size of current solution:', 20]
10/04/2018 08:46:23 PM: [245.5236583026637, 'ground set remaining:', 44118, 'size of current solution:', 21]
10/04/2018 08:46:27 PM: [257.2571503217576, 'ground set remaining:', 44117, 'size of current solution:', 22]
10/04/2018 08:46:32 PM: [267.76420907485294, 'ground set remaining:', 44116, 'size of current solution:', 23]
10/04/2018 08:46:37 PM: [278.99121376728976, 'ground set remaining:', 44115, 'size of current solution:', 24]
10/04/2018 08:46:42 PM: [289.56541773104055, 'ground set remaining:', 44114, 'size of current solution:', 25]
10/04/2018 08:46:46 PM: [299.73490062480255, 'ground set remaining:', 44113, 'size of current solution:', 26]
10/04/2018 08:46:51 PM: [310.0244421112304, 'ground set remaining:', 44112, 'size of current solution:', 27]
10/04/2018 08:46:56 PM: [320.5571687152459, 'ground set remaining:', 44111, 'size of current solution:', 28]
10/04/2018 08:47:00 PM: [332.19054596483056, 'ground set remaining:', 44110, 'size of current solution:', 29]
10/04/2018 08:47:05 PM: [343.9002421133904, 'ground set remaining:', 44109, 'size of current solution:', 30]
10/04/2018 08:47:10 PM: [354.08628015631416, 'ground set remaining:', 44108, 'size of current solution:', 31]
10/04/2018 08:47:14 PM: [364.3678435770785, 'ground set remaining:', 44107, 'size of current solution:', 32]
10/04/2018 08:47:19 PM: [374.5359174764364, 'ground set remaining:', 44106, 'size of current solution:', 33]
10/04/2018 08:47:24 PM: [384.7410617041198, 'ground set remaining:', 44105, 'size of current solution:', 34]
10/04/2018 08:47:28 PM: [394.69651928202865, 'ground set remaining:', 44104, 'size of current solution:', 35]
