10/04/2018 08:21:06 PM: Namespace(audio='call', fraction_to_drop=0.5, k=60, num_samples=216, r=30, speed_over_accuracy=1)
10/04/2018 08:21:06 PM: num_cores:
10/04/2018 08:21:06 PM: 72
10/04/2018 08:21:06 PM: Parallelize sampling.
10/04/2018 08:21:06 PM: The signal length is 2120640: 
10/04/2018 08:21:06 PM: The number of frames 'K' is 4141: 
10/04/2018 08:21:06 PM: The length of each frame 'L' is 512: 
10/04/2018 08:21:10 PM: START
10/04/2018 08:21:10 PM: [0.0, 'ground set remaining:', 176679, 'size of current solution:', 0]
10/04/2018 08:21:19 PM: [22.43311996983047, 'ground set remaining:', 176677, 'size of current solution:', 2]
10/04/2018 08:21:29 PM: [46.56383438074218, 'ground set remaining:', 176675, 'size of current solution:', 4]
10/04/2018 08:21:40 PM: [68.25365549884742, 'ground set remaining:', 176673, 'size of current solution:', 6]
10/04/2018 08:21:49 PM: [89.34468940297427, 'ground set remaining:', 176671, 'size of current solution:', 8]
10/04/2018 08:21:59 PM: [111.0458697280726, 'ground set remaining:', 176669, 'size of current solution:', 10]
10/04/2018 08:22:09 PM: [131.5420879805465, 'ground set remaining:', 176667, 'size of current solution:', 12]
10/04/2018 08:22:20 PM: [151.34803400236046, 'ground set remaining:', 176665, 'size of current solution:', 14]
10/04/2018 08:22:30 PM: [171.05717282149627, 'ground set remaining:', 176663, 'size of current solution:', 16]
10/04/2018 08:22:41 PM: [191.2126248339685, 'ground set remaining:', 176661, 'size of current solution:', 18]
10/04/2018 08:22:53 PM: [210.62677245628987, 'ground set remaining:', 176659, 'size of current solution:', 20]
10/04/2018 08:23:03 PM: [229.68563464104636, 'ground set remaining:', 176657, 'size of current solution:', 22]
10/04/2018 08:23:13 PM: [248.92476775537517, 'ground set remaining:', 176655, 'size of current solution:', 24]
10/04/2018 08:23:23 PM: [267.56836195277896, 'ground set remaining:', 176653, 'size of current solution:', 26]
10/04/2018 08:23:33 PM: [286.00098552236886, 'ground set remaining:', 176651, 'size of current solution:', 28]
10/04/2018 08:23:43 PM: [304.6237746339274, 'ground set remaining:', 176649, 'size of current solution:', 30]
10/04/2018 08:23:53 PM: [323.72217564144324, 'ground set remaining:', 176647, 'size of current solution:', 32]
10/04/2018 08:24:03 PM: [341.7800186958398, 'ground set remaining:', 176645, 'size of current solution:', 34]
10/04/2018 08:24:13 PM: [360.74143405023005, 'ground set remaining:', 176643, 'size of current solution:', 36]
10/04/2018 08:24:23 PM: [379.6177667423324, 'ground set remaining:', 176641, 'size of current solution:', 38]
10/04/2018 08:24:33 PM: [397.3447300615527, 'ground set remaining:', 176639, 'size of current solution:', 40]
10/04/2018 08:24:43 PM: [415.58376249556215, 'ground set remaining:', 176637, 'size of current solution:', 42]
10/04/2018 08:24:52 PM: [435.4767722386649, 'ground set remaining:', 176635, 'size of current solution:', 44]
10/04/2018 08:25:03 PM: [453.80474431705545, 'ground set remaining:', 176633, 'size of current solution:', 46]
10/04/2018 08:25:13 PM: [471.68294246883045, 'ground set remaining:', 176631, 'size of current solution:', 48]
10/04/2018 08:25:22 PM: [489.72131072697914, 'ground set remaining:', 176629, 'size of current solution:', 50]
10/04/2018 08:25:33 PM: [507.38256234453786, 'ground set remaining:', 176627, 'size of current solution:', 52]
10/04/2018 08:25:43 PM: [524.6187514339704, 'ground set remaining:', 176625, 'size of current solution:', 54]
10/04/2018 08:25:54 PM: [541.7840795258604, 'ground set remaining:', 176623, 'size of current solution:', 56]
10/04/2018 08:26:04 PM: [559.3755319328063, 'ground set remaining:', 176621, 'size of current solution:', 58]
10/04/2018 08:26:18 PM: STOP
